Category,Task,Description,Status,Notes
"Phase 1: Immediate Action & Safety","Secure the Area","Ensure the area around the inverter is cordoned off. Verify no unauthorized personnel have access.","Pending",""
"Phase 1: Immediate Action & Safety","Lockout/Tagout (LOTO)","Perform complete LOTO on both AC (Medium Voltage transformer/switchgear) and DC (array combiners/recombiners) sides. Verify zero voltage.","Pending",""
"Phase 1: Immediate Action & Safety","Capacitor Discharge Check","Wait the manufacturer-specified time for DC link capacitors to discharge. Verify zero voltage across DC link before touching anything.","Pending",""
"Phase 1: Immediate Action & Safety","Initial Photography","Take extensive high-resolution photos of the entire inverter, AC compartment, breaker, soot patterns, and surrounding environment BEFORE touching anything.","Pending",""
"Phase 2: Data Gathering & Documentation","SCADA / Data Logger Extraction","Download all available fault logs, event logs, and high-resolution telemetry data from the local data logger and SCADA system prior to the event.","Pending",""
"Phase 2: Data Gathering & Documentation","Protection Relay Data","Download event records and oscillography from the AC protection relay (if external at the MV station) or inverter internal grid monitor.","Pending",""
"Phase 2: Data Gathering & Documentation","Maintenance Records Review","Collect recent PM (Preventive Maintenance) reports, especially IR (Infrared) thermography reports, torque checks, and previous breaker operations.","Pending",""
"Phase 3: Detailed Visual Inspection","AC Breaker Compartment","Inspect the main AC breaker for the epicenter of the fire. Look for melted terminals, vaporized copper/aluminum, and direction of soot/arc flash propagation.","Pending",""
"Phase 3: Detailed Visual Inspection","Busbar and Cable Terminations","Check for signs of loose connections (fretting, discoloration prior to the arc). Note if the failure originated at the lug/cable termination or inside the breaker mechanism.","Pending",""
"Phase 3: Detailed Visual Inspection","Environmental & Mechanical","Check for signs of water ingress, vermin, insect nests, dust accumulation, or blocked ventilation filters that could cause overheating.","Pending",""
"Phase 4: Electrical & Mechanical Testing","Cable Insulation Resistance (Megger)","Test AC cables between the inverter and the MV transformer for insulation breakdown. (Ensure disconnected from sensitive electronics).","Pending",""
"Phase 4: Electrical & Mechanical Testing","Torque Verification","Check the torque of surviving connections in the AC compartment to identify systemic under-torquing or thermal cycling relaxation.","Pending",""
"Phase 4: Electrical & Mechanical Testing","DC Side Health Check","Perform insulation resistance testing on the DC side to ensure a severe DC ground fault didn't contribute to the AC side failure.","Pending",""
"Phase 5: Component Analysis","Breaker Extraction","Carefully remove the failed breaker. Preserve it for potential metallurgical/forensic analysis by the manufacturer (Ingeteam) or a third party.","Pending",""
"Phase 5: Component Analysis","Contact Ingeteam Support","Open a severe incident ticket with Ingeteam Support. Provide them with the initial photos, serial number, and fault logs.","Pending",""
"Phase 6: Root Cause Hypotheses","Evaluate Loose Connection","Determine if the fire started at the terminal (often due to thermal cycling, improper torque). Check history of high temps in recent IR scans.","Pending",""
"Phase 6: Root Cause Hypotheses","Evaluate Breaker Failure","Determine if internal contacts failed to open under load or short circuit, or if the arc chute failed.","Pending",""
"Phase 6: Root Cause Hypotheses","Evaluate External Fault","Investigate if there was a significant grid event (voltage spike, short circuit on the MV side) that the breaker attempted to clear and failed.","Pending",""
"Phase 7: Remediation & Restart Plan","Clean and Vacuum","Thoroughly clean all soot and debris from the compartment using specialized non-conductive cleaners to prevent tracking faults.","Pending",""
"Phase 7: Remediation & Restart Plan","Replace Components","Replace the breaker, damaged busbars, cables, and any heat-damaged control wiring nearby.","Pending",""
"Phase 7: Remediation & Restart Plan","Pre-commissioning Tests","Perform full pre-commissioning checks (Megger, Ductor) on the new installation before re-energizing.","Pending",""
